,Time,Tweet
11,2020-09-30T15:35:16.000Z,"Wow! 100,000 Mail In Ballots in New York City a total MESS. Mayor and Governor have no idea what to do. Big Fraud, Unfixable! Cancel Ballots and go out and VOTE, just like in past decades, when there were no problems!"
12,2020-09-30T14:22:13.000Z,"Biden REFUSED to use the term, LAW & ORDER! There go the Suburbs."
13,2020-09-30T14:13:05.000Z,"Biden wants to Pack the Supreme Court, thereby ruining it. Also, he wants no fracking, killing our Energy business, and JOBS. Second Amendment is DEAD if Biden gets in! Is that what you want from a leader? He will destroy our Country! VOTE NOW USA."
14,2020-09-30T13:31:45.000Z,"Nobody wants Sleepy Joe as a leader, including the Radical Left (which he lost last night!). He disrespected Bernie, effectively calling him a loser!"
15,2020-09-30T02:15:30.000Z,Joe Biden could not name a single Law Enforcement group that supports his candidacy!
16,2020-09-30T02:00:44.000Z,The American people want LAW & ORDER — Joe Biden won’t even say those words!
17,2020-09-30T01:34:31.000Z,Joe wants to shut down this Country. I want to keep it OPEN!
18,2020-09-29T21:14:05.000Z,Wow. Won’t let Poll Watchers & Security into Philadelphia Voting Places. There is only one reason why. Corruption!!! Must have a fair Election.
19,2020-09-29T21:13:56.000Z,"Just arrived in the Great State of Ohio. Real Polls have us leading by even more than 2016. With Biden being against Fracking (Energy & Jobs) & your Second Amendment, we should be in very good shape!"
20,2020-09-29T03:58:45.000Z,"Now Fake News @CNN is actually reporting that I wanted my daughter, Ivanka, to run with me as my Vice President in 2016 Election. Wrong and totally ridiculous. These people are sick!"
21,2020-09-29T00:37:58.000Z,The “Trump Doctrine” earns President Trump a third Nobel Peace Prize Nomination! @LouDobbs
22,2020-09-28T14:33:31.000Z,"Joe Biden just announced that he will not agree to a Drug Test. Gee, I wonder why?"
23,2020-09-28T14:29:36.000Z,"The Fake News Media, just like Election time 2016, is bringing up my Taxes & all sorts of other nonsense with illegally obtained information & only bad intent. I paid many millions of dollars in taxes but was entitled, like everyone else, to depreciation & tax credits....."
24,2020-09-28T14:21:22.000Z,The Ballots being returned to States cannot be accurately counted. Many things are already going very wrong!
25,2020-09-28T04:13:25.000Z,FAKE NEWS!
26,2020-09-27T14:09:16.000Z,"Obamacare will be replaced with a MUCH better, and FAR cheaper, alternative if it is terminated in the Supreme Court. Would be a big WIN for the USA!"
27,2020-09-27T14:00:24.000Z,WATCH THE BALLOTS!!!
28,2020-09-27T13:58:58.000Z,"Wow, nobody realized how far Mini Mike Bloomberg went in bribing ex-prisoners to go out and vote for Sleepy Joe. He is desperate to get back into the good graces of the people who not only badly beat him, but made him look like a total fool. Now he’s committed a serious crime!"
29,2020-09-27T13:34:08.000Z,"I will be strongly demanding a Drug Test of Sleepy Joe Biden prior to, or after, the Debate on Tuesday night. Naturally, I will agree to take one also. His Debate performances have been record setting UNEVEN, to put it mildly. Only drugs could have caused this discrepancy???"
30,2020-09-26T04:15:54.000Z,"Based on the strong recommendation of @SenDanSullivan and @repdonyoung of the Great State of Alaska, it is my honor to inform you that I will be issuing a Presidential Permit for the A2A Cross-Border Rail between Alaska & Canada. Congratulations to the people of Alaska & Canada!"
31,2020-09-26T00:54:00.000Z,"The Obama Administration was not out to get the facts, they were out to “get Trump”. Ken Starr...And got caught red handed - All of them. “Trump was right”, they said!"
32,2020-09-25T21:58:06.000Z,"Governor Andrew Cuomo of New York wants to put New York at the END of the Vaccine List in that he doesn’t trust the @FDA or Federal Government, even though the Vaccines are being developed by the finest Labs in the World. Wish he trusted us on Nursing Homes!"
33,2020-09-25T21:28:13.000Z,BIG NEWS! The @Smithsonian American History Museum reopened today in our Nation’s Capital! Go visit @amhistorymuseum and learn about our GREAT Country’s history!
34,2020-09-25T11:32:25.000Z,"RINO Governor Charlie Baker of Massachusetts is unsuccessfully trying to defend Mail In Ballots, when there is fraud being found all over the place. Just look at some of the recent races, or the Trump Ballots in Pennsylvania that were thrown into the garbage. Wrong Charlie!"
35,2020-09-25T11:03:57.000Z,"One of the worst polls in 2016 was the @FoxNews Poll. They were so ridiculously wrong. Fox said they were going to change pollsters, but they didn’t. They totally over sample Democrats to a point that a child could see what is going on. Rasmussen, which was accurate, at 52%."
36,2020-09-26T00:54:00.000Z,"The Obama Administration was not out to get the facts, they were out to “get Trump”. Ken Starr...And got caught red handed - All of them. “Trump was right”, they said!"
37,2020-09-25T21:58:06.000Z,"Governor Andrew Cuomo of New York wants to put New York at the END of the Vaccine List in that he doesn’t trust the @FDA or Federal Government, even though the Vaccines are being developed by the finest Labs in the World. Wish he trusted us on Nursing Homes!"
38,2020-09-25T21:28:13.000Z,BIG NEWS! The @Smithsonian American History Museum reopened today in our Nation’s Capital! Go visit @amhistorymuseum and learn about our GREAT Country’s history!
39,2020-09-25T11:32:25.000Z,"RINO Governor Charlie Baker of Massachusetts is unsuccessfully trying to defend Mail In Ballots, when there is fraud being found all over the place. Just look at some of the recent races, or the Trump Ballots in Pennsylvania that were thrown into the garbage. Wrong Charlie!"
40,2020-09-25T11:03:57.000Z,"One of the worst polls in 2016 was the @FoxNews Poll. They were so ridiculously wrong. Fox said they were going to change pollsters, but they didn’t. They totally over sample Democrats to a point that a child could see what is going on. Rasmussen, which was accurate, at 52%."
41,2020-09-25T00:31:46.000Z,"Cheating on Unsolicited Ballots by political hacks, or anyone else, is against the law. We are closely watching!"
42,2020-09-24T23:12:41.000Z,"Just landed in Florida. WOW, what a crowd, MASSIVE! Going to win FLORIDA BIG!! Live on @FoxNews, @OANN, and @cspan! #MAGA"
43,2020-09-24T22:10:45.000Z,Up BIG in South Carolina!
44,2020-09-24T16:36:44.000Z,"Russian Billionaire wired Hunter Biden 3 1/2 Million Dollars. This on top of all of the other money he received while Joe was V.P. Crooked as can be, but Fake Mainstream Media wants it to just go away!"
45,2020-09-24T14:34:14.000Z,"Sleepy Joe Biden just closed down his campaign for the day (Again). Wants to rest! He is a very LOW ENERGY INDIVIDUAL, and our Country cannot make it in these exciting, but complex and competitive times, with a Low Energy President !!!"
46,2020-09-24T14:27:40.000Z,North Carolina looking good! See you later.
47,2020-09-24T14:24:27.000Z,"Rasmussen Approval Rating: 52%. Republican Party Approval Rating, 95%. Thank you!"
48,2020-09-24T14:21:32.000Z,Florida looking good!
49,2020-09-24T04:16:05.000Z,LAW & ORDER!
50,2020-09-24T02:44:18.000Z,"Praying for the two police officers that were shot tonight in Louisville, Kentucky. The Federal Government stands behind you and is ready to help. Spoke to @GovAndyBeshear and we are prepared to work together, immediately upon request!"
51,2020-09-23T14:03:08.000Z,"Very important that, in order to watch that ALL are following the Rules & Regulations, you become an Election Official at your local Polling Place. Go sign up NOW!!!"
52,2020-09-23T13:58:47.000Z,Bay of Pigs Veterans & Hispanic Heritage Remarks as past honoree. White House East Room. 11 AM. Thank you!
53,2020-09-23T13:21:10.000Z,"White House News Conference today at 6:00 P.M. Economy, Job gains and Vaccine development are all doing GREAT!"
54,2020-09-23T11:22:58.000Z,"I hardly know Cindy McCain other than having put her on a Committee at her husband’s request. Joe Biden was John McCain’s lapdog. So many BAD decisions on Endless Wars & the V.A., which I brought from a horror show to HIGH APPROVAL. Never a fan of John. Cindy can have Sleepy Joe!"
55,2020-09-22T22:53:22.000Z,"A few weeks ago, I BANNED efforts to indoctrinate government employees with divisive and harmful sex and race-based ideologies. Today, I've expanded that ban to people and companies that do business..."
56,2020-09-22T13:42:07.000Z,"I will be announcing my Supreme Court Nominee on Saturday, at the White House! Exact time TBA."
57,2020-09-22T13:38:07.000Z,"The Democrats are only interested in BAILING OUT their badly managed, high crime, Blue States. They are not interested in our workers or small businesses. Crazy Nancy will only do stimulus, which would be helpful, if we couple it with bailout money. Republican States are great!!!"
58,2020-09-22T12:17:06.000Z,Nissan is rolling out it’s 2021 ROGUE from TENNESSEE. Great!
59,2020-09-21T11:42:44.000Z,"“The Trump Century, How Our President Changed the Course of History Forever”. On sale tomorrow. A great book by an even greater author. Make Lou NUMBER ONE! Much better than the boring, no new info., Woodward book. Besides, Lou is much smarter and sharper than Bob, by a lot!"
60,2020-09-21T11:28:41.000Z,Will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!  @FoxNews
61,2020-09-20T23:11:35.000Z,Will be interviewed by @marklevinshow on @FoxNews tonight at 8:00 P.M. Enjoy!
62,2020-09-20T14:50:09.000Z,"SAVE YOUR SECOND AMENDMENT, VOTE TRUMP!"
63,2020-09-20T13:37:58.000Z,MAKE AMERICA GREAT AGAIN!
64,2020-09-22T22:53:22.000Z,"A few weeks ago, I BANNED efforts to indoctrinate government employees with divisive and harmful sex and race-based ideologies. Today, I've expanded that ban to people and companies that do business..."
65,2020-09-22T13:42:07.000Z,"I will be announcing my Supreme Court Nominee on Saturday, at the White House! Exact time TBA."
66,2020-09-22T13:38:07.000Z,"The Democrats are only interested in BAILING OUT their badly managed, high crime, Blue States. They are not interested in our workers or small businesses. Crazy Nancy will only do stimulus, which would be helpful, if we couple it with bailout money. Republican States are great!!!"
67,2020-09-22T12:17:06.000Z,Nissan is rolling out it’s 2021 ROGUE from TENNESSEE. Great!
68,2020-09-21T11:42:44.000Z,"“The Trump Century, How Our President Changed the Course of History Forever”. On sale tomorrow. A great book by an even greater author. Make Lou NUMBER ONE! Much better than the boring, no new info., Woodward book. Besides, Lou is much smarter and sharper than Bob, by a lot!"
69,2020-09-21T11:28:41.000Z,Will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!  @FoxNews
70,2020-09-20T23:11:35.000Z,Will be interviewed by @marklevinshow on @FoxNews tonight at 8:00 P.M. Enjoy!
71,2020-09-20T14:50:09.000Z,"SAVE YOUR SECOND AMENDMENT, VOTE TRUMP!"
72,2020-09-20T13:37:58.000Z,MAKE AMERICA GREAT AGAIN!
73,2020-09-20T13:37:14.000Z,LAW & ORDER!
74,2020-09-20T11:48:23.000Z,"VIRGINIA, and everywhere else for that matter, I am the only thing standing between you and your 2nd Amendment. If I am re-elected, it is 100% SAFE. If not, it is GONE!"
75,2020-09-19T14:10:27.000Z,".@GOP  We were put in this position of power and importance to make decisions for the people who so proudly elected us, the most important of which has long been considered to be the selection of United States Supreme Court Justices. We have this obligation, without delay!"
76,2020-09-18T23:01:32.000Z,"Today, I announced two of the LARGEST grants in history to Puerto Rico to rebuild its electrical grid system and education system. My Administration will be awarding $13 BILLION through FEMA – the largest obligations of funding ever awarded..."
77,2020-09-18T22:58:15.000Z,Joe Biden delivered remarks to union members after spending 47 years giving their jobs to China and foreign countries in exchange for campaign cash...
78,2020-09-18T22:56:18.000Z,"Joe Biden says this is a race between Scranton and Park Avenue. This is a race between Scranton and China. Joe Biden betrayed Scranton, and America, to China and foreign countries. I will always put America First!"
79,2020-09-18T20:54:55.000Z,"Sleepy Joe Biden just said that he wished I closed up one week earlier — but when I banned China from coming in, it took him TWO MONTHS to finally realize that was a good thing..."
80,2020-09-18T20:22:42.000Z,"Jason Lewis (@LewisForMN) will be an incredible Senator for the State of Minnesota! He is a proven leader who will help us Lower your Taxes, Protect our Communities and Defend your Second Amendment…"
81,2020-09-18T18:56:07.000Z,"Voting starts in Virginia TODAY, and we are going to WIN. You have a crazy Governor who wants to take away your guns, which he will do without me in office. He is in favor of executing babies after birth - this isn’t late-term abortion, this is a step way beyond! Vote for me..."
82,2020-09-18T15:26:41.000Z,Biden FAILED BADLY with the Swine Flu. It was the Gang That Couldn’t Shoot Straight”.  He didn’t have a clue. We have done an incredible job with the much tougher China Virus!
83,2020-09-18T15:02:08.000Z,"Mini Mike Bloomberg, after making a total fool of himself as he got badly beaten up by Pocahontas and the Democrats in the Primaries, is at it again. He tried to buy an Election and went away with a major case of Depression. Now he’s throwing money at the Dems, looking for a job!"
84,2020-09-18T13:42:37.000Z,Pelosi wants to take 30 Billion Dollars away from our great Farmers. Can’t let that happen!
85,2020-09-18T03:43:48.000Z,"No one has been more wrong, more often than Biden. He voted FOR the Iraq War, he supported the defense sequester that gutted our military, he opposed the mission to take out Osama bin Laden, he opposed killing Soleimani, he oversaw the rise of ISIS, and he cheered the rise of..."
86,2020-09-17T23:36:12.000Z,On Air Force One heading to Wisconsin. Biden refused to go there to apologize for not showing up for the failed Democrat Convention. So funny to watch the Fake News fawning over Sleepy Joe’s ridiculous “car press conference”. Pathetic!
87,2020-09-17T23:22:37.000Z,"Bob Woodward’s badly written book is very boring & totally “obsolete”. Didn’t even talk about the recent Middle East deal. Just another tired, washed up Trump Hater, who can’t stand that I have done so much, so quickly! #MAGA"
88,2020-09-17T20:44:16.000Z,"The Democrats are just ANGRY that the vaccine and delivery are so far ahead of schedule. They hate what they are seeing. Saving lives should make them happy, not sad!"
89,2020-09-17T23:36:12.000Z,On Air Force One heading to Wisconsin. Biden refused to go there to apologize for not showing up for the failed Democrat Convention. So funny to watch the Fake News fawning over Sleepy Joe’s ridiculous “car press conference”. Pathetic!
90,2020-09-17T23:22:37.000Z,"Bob Woodward’s badly written book is very boring & totally “obsolete”. Didn’t even talk about the recent Middle East deal. Just another tired, washed up Trump Hater, who can’t stand that I have done so much, so quickly! #MAGA"
91,2020-09-17T20:44:16.000Z,"The Democrats are just ANGRY that the vaccine and delivery are so far ahead of schedule. They hate what they are seeing. Saving lives should make them happy, not sad!"
92,2020-09-17T18:34:54.000Z,Biden and the Democrats want to get rid of the Private Healthcare Plans for 180 MILLION Americans that are happy. They’ll be put on socialized medicine!
93,2020-09-17T18:18:45.000Z,Just out: Some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!
94,2020-09-17T18:16:56.000Z,Congratulations Prime Minister Yoshihide Suga. You have a great life story! I know you will do a tremendous job for Japan and for the world. Look forward to talking soon! @kantei @sugawitter
95,2020-09-17T18:15:22.000Z,"I am lowering, not raising, Medicare Premiums!"
96,2020-09-17T18:12:50.000Z,"Unsolicited Ballots are uncontrollable, totally open to ELECTION INTERFERENCE by foreign countries, and will lead to massive chaos and confusion!"
97,2020-09-17T18:12:07.000Z,"State Supreme Court in Pennsylvania just affirmed that Ballot harvesting remains illegal. We will be watching that the Democrats do not Ballot Harvest - a felony. In other words, the Republican Party won on the atrocious Ballot Harvesting Scam..."
98,2020-09-17T18:06:21.000Z,"The Democrat Trump Hater Secretary of State of Michigan, purposely misprinted Ballots for the Military, putting the wrong names on the Ballot, and actually listing a member of another party as a replacement for Vice President @Mike_Pence. Everybody is totally confused by their..."
99,2020-09-17T12:12:48.000Z,"Democrats only want BAILOUT MONEY for Blue States that are doing badly. They don’t care about the people, never did!"
100,2020-09-17T12:07:22.000Z,"Twitter makes sure that Trending on Twitter is anything bad, Fake or not, about President Donald Trump. So obvious what they are doing. Being studied now!"
101,2020-09-17T12:03:08.000Z,"I am SUBSTANTIALLY LOWERING MEDICARE PREMIUMS. Have instituted Favored Nations Clause and Rebates on Drug Companies. Never been done before. Drug companies are hitting me with Fake Ads, just like sleepy Joe. Be careful! Drug prices will be reduced massively, and soon."
102,2020-09-17T11:45:18.000Z,"The big Unsolicited Ballot States should give it up NOW, before it is too late, and ask people to go to the Polling Booths and, like always before, VOTE. Otherwise, MAYHEM!!! Solicited Ballots (absentee) are OK. @foxandfriends"
103,2020-09-17T02:20:56.000Z,"Don’t worry, wonderful & beautiful Alaska, there will be NO POLITICS in the Pebble Mine Review Process. I will do what is right for Alaska and our great Country!!!"
104,2020-09-16T21:08:29.000Z,Moving up News Conference to 5:15. Enjoy!
105,2020-09-16T14:30:29.000Z,"Democrats are “heartless”. They don’t want to give STIMULUS PAYMENTS to people who desperately need the money, and whose fault it was NOT that the plague came in from China. Go for the much higher numbers, Republicans, it all comes back to the USA anyway (one way or another!)."
106,2020-09-16T14:09:13.000Z,Vaccines are moving along fast and safely!
107,2020-09-16T13:45:32.000Z,Thank you for the great reviews of the @ABC News show last night!
108,2020-09-16T13:33:51.000Z,"Great News: BIG TEN FOOTBALL IS BACK. All teams to participate. Thank you to the players, coaches, parents, and all school representatives. Have a FANTASTIC SEASON! It is my great honor to have helped!!!"
109,2020-09-15T13:49:33.000Z,"We are advertising all over the place, but as much as we do, the Fake News likes to say we aren’t. Just being smart. We have much more money than we had at same time in 2016. Also spending on other, and different, elements of the campaign. Starting to get great poll numbers!"
110,2020-09-15T12:01:02.000Z,On @foxandfriends Now! Enjoy!
111,2020-09-15T03:25:01.000Z,"My team and I are closely monitoring extremely dangerous Hurricane Sally. We are fully engaged with State & Local Leaders to assist the great people of Alabama, Louisiana, and Mississippi. Be ready and listen to State and Local Leaders! @GovernorKayIvey @LouisianaGov @TateReeves"
112,2020-09-15T03:04:33.000Z,"According to press reports, Iran may be planning an assassination, or other attack, against the United States in retaliation for the killing of terrorist leader Soleimani, which was carried out for his planning a future attack, murdering U.S. Troops, and the death & suffering..."
113,2020-09-15T02:31:10.000Z,"Left California for Arizona. Leaving Arizona after a GREAT meeting with our incredible Hispanic community. Heard fantastic and inspiring success stories. Will be landing in Washington (D.C.) soon! Big White House ceremony tomorrow morning with Israel, UAE, and Bahrain."
114,2020-09-15T13:49:33.000Z,"We are advertising all over the place, but as much as we do, the Fake News likes to say we aren’t. Just being smart. We have much more money than we had at same time in 2016. Also spending on other, and different, elements of the campaign. Starting to get great poll numbers!"
115,2020-09-15T12:01:02.000Z,On @foxandfriends Now! Enjoy!
116,2020-09-15T03:25:01.000Z,"My team and I are closely monitoring extremely dangerous Hurricane Sally. We are fully engaged with State & Local Leaders to assist the great people of Alabama, Louisiana, and Mississippi. Be ready and listen to State and Local Leaders! @GovernorKayIvey @LouisianaGov @TateReeves"
117,2020-09-15T03:04:33.000Z,"According to press reports, Iran may be planning an assassination, or other attack, against the United States in retaliation for the killing of terrorist leader Soleimani, which was carried out for his planning a future attack, murdering U.S. Troops, and the death & suffering..."
118,2020-09-15T02:31:10.000Z,"Left California for Arizona. Leaving Arizona after a GREAT meeting with our incredible Hispanic community. Heard fantastic and inspiring success stories. Will be landing in Washington (D.C.) soon! Big White House ceremony tomorrow morning with Israel, UAE, and Bahrain."
119,2020-09-15T02:24:09.000Z,"Did you see where Joe Biden — as Weak, Tired, and Sleepy as he is, went to a Polling Place today in Delaware (of course!) to VOTE!? If Biden can do it, any American can do it!"
120,2020-09-15T02:23:11.000Z,"We had great rallies this past weekend, after the Governor of Nevada worked very hard to cancel all of our venues. Despite the fact that he controls the state, he failed, but would have rather done rally outside. Can you imagine this man is in charge..."
121,2020-09-14T21:24:20.000Z,"“Players take knee, raise fist, stay in locker room, during National Anthem”. @FoxNews No thanks, tell them to “protest” some other time!"
122,2020-09-14T20:38:09.000Z,"Rasmussen was one of the most accurate polls in 2016. Actually, I think, based on Crowds and Enthusiasm (of which Sleepy Joe has none!), that we are MUCH higher than 51%. The only thing Joe can count on is that a Federal Judge doesn’t eviscerate the Fake Ballot Rigging Scam!"
123,2020-09-14T14:30:30.000Z,"Our people have all left Drudge. He is a confused MESS, has no clue what happened. Down 51%. @DRUDGE  They like REVOLVER and others!"
124,2020-09-14T14:21:47.000Z,"Great, Just Out! 51% Approval Rating in Rasmussen Poll. 95% in Republican Party. Stock Market up BIG today. Will I ever be given credit for the Markets and Economy? Next year will be BIG!"
125,2020-09-14T03:43:19.000Z,"For the entire summer, Joe Biden was SILENT as left-wing mobs assaulted police officers. When Biden’s far-left supporters set fire to police cars, precinct stations, and courthouses, Joe Biden called them “PEACEFUL PROTESTORS.” When asked if he would cut police funding, Biden..."
126,2020-09-13T18:58:40.000Z,Just signed a new Executive Order to LOWER DRUG PRICES! My Most Favored Nation order will ensure that our Country gets the same low price Big Pharma gives to other countries. The days of global freeriding at America’s expense are over...
127,2020-09-13T16:13:36.000Z,"Sleepy Joe Biden has spent 47 years in politics being terrible to Hispanics. Now he is relying on Castro lover Bernie Sanders to help him out. That won’t work! Remember, Miami Cubans gave me the highly honored Bay of Pigs Award for all I have done for our great Cuban Population!"
128,2020-09-13T14:00:22.000Z,"In the highly competitive world of high tech, how come nobody has ever challenged Mini Mike Bloomberg and his very average, & supposedly outdated, “stuff” that he sells to so many? Did he use his position as Mayor of New York to create what is now a monopoly? Just askin’?"
129,2020-09-13T04:49:55.000Z,"I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the future belongs to AMERICA—NOT China. If we win, AMERICA WINS! If Biden wins, China wins. If Biden Wins, the rioters, anarchists, and arsonists win. VOTE! #MAGA"
130,2020-09-13T04:20:29.000Z,"Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried America as a wicked, sinful nation, destined for a fate of doom and despair. They even removed the words “Under God” from the Pledge of Allegiance – twice..."
131,2020-09-13T01:58:34.000Z,Just landed in Nevada but while on Air Force One watched most vicious TV commercial I have ever seen. Pathetic Joe’s people placed an unsourced ad where they have me saying unthinkable things about soldiers while standing over their graves. It is a MADE UP LIE. A TOTAL CON JOB!
132,2020-09-13T00:16:16.000Z,"While I travel the Country, Joe sleeps in his basement, telling the Fake News Media to “get lost”. If you’re a reporter covering Sleepy Joe, you have basically gone into retirement!"
133,2020-09-13T00:13:50.000Z,"Once again, Sleepy Joe told the press they could go home at 9 A.M. Meanwhile, your Favorite President, me, will go to Reno, Nevada tonight, three stops in Las Vegas tomorrow, with California and Arizona on schedule Monday. Don’t worry, we won’t be taking off Tuesday, either!"
134,2020-09-12T22:08:56.000Z,Hispanics seem to be strongly favoring President Trump! @OANN
135,2020-09-12T22:05:41.000Z,"On my way, Nevada!"
136,2020-09-12T20:27:53.000Z,"All that time and money spent, and it turns out that the Mueller Investigation was a total SCAM!"
137,2020-09-12T20:10:58.000Z,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, & the Democrats know it. Almost all recent elections using this system, even though much smaller &  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots & Fraud!"
138,2020-09-13T00:13:50.000Z,"Once again, Sleepy Joe told the press they could go home at 9 A.M. Meanwhile, your Favorite President, me, will go to Reno, Nevada tonight, three stops in Las Vegas tomorrow, with California and Arizona on schedule Monday. Don’t worry, we won’t be taking off Tuesday, either!"
139,2020-09-12T22:08:56.000Z,Hispanics seem to be strongly favoring President Trump! @OANN
140,2020-09-12T22:05:41.000Z,"On my way, Nevada!"
141,2020-09-12T20:27:53.000Z,"All that time and money spent, and it turns out that the Mueller Investigation was a total SCAM!"
142,2020-09-12T20:10:58.000Z,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, & the Democrats know it. Almost all recent elections using this system, even though much smaller &  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots & Fraud!"
143,2020-09-12T14:20:51.000Z,"Subject only to State approval, our important Ethanol Industry will be allowed to use the 10% Pumps for the 15% BLEND. Thank you! @SenJoniErnst @ChuckGrassley @SenatorFischer @SenJohnThune @SenatorRounds @KimReynoldsIA @EPAAWheeler @SecretarySonny @govkristinoem"
144,2020-09-12T13:10:44.000Z,
145,2020-09-12T13:09:37.000Z,"Was Andy McCabe ever forced to pay back the $700,000 illegally given to him and his wife, for his wife’s political campaign, by Crooked Hillary Clinton while Hillary was under FBI investigation, and McCabe was the head of the FBI??? Just askin’?"
146,2020-09-12T13:03:12.000Z,"ALERT: So now we find out that the entire Mueller “hit squad” illegally wiped their phones clean just prior to the investigation of them, all using the same really dumb reason for this “accident”, just like Crooked Hillary smashing her phones with a hammer, & DELETING HER EMAILS!"
147,2020-09-11T20:07:21.000Z,"Pelosi and Schumer want Trillions of Dollars of BAILOUT money for Blue States that are doing badly, both economically and in terms of high crime, as a condition to making a deal on stimulus - But the USA is coming back strong!"
148,2020-09-11T17:00:48.000Z,Another HISTORIC breakthrough today! Our two GREAT friends Israel and the Kingdom of Bahrain agree to a Peace Deal – the second Arab country to make peace with Israel in 30 days!
149,2020-09-11T10:13:04.000Z,Congratulations to JPMorgan Chase for ordering everyone BACK TO OFFICE on September 21st. Will always be better than working from home!
150,2020-09-11T01:53:27.000Z,"On November 3rd, Michigan will decide whether we will quickly return to record prosperity—or whether we allow Sleepy Joe Biden to impose a $4 TRILLION DOLLAR TAX HIKE, ban American Energy, confiscate your guns, shutdown the economy, shutdown auto production, delay..."
151,2020-09-11T01:47:55.000Z,"When we win I, as your President, will totally forgive ALL deferred payroll taxes with money from the General Fund. I will ALWAYS protect Seniors and your Social Security! Sleepy Joe Biden will do the opposite, he will raise your taxes and DESTROY our Country!"
152,2020-09-10T22:57:59.000Z,Landing in the Great State of Michigan now. See you soon!
153,2020-09-10T19:03:37.000Z,Will be doing a News Conference live from the White House at 3:30 P.M. Eastern.
154,2020-09-10T14:14:17.000Z,"The Democrats never even mentioned the words LAW & ORDER at their National Convention. That’s where they are coming from. If I don’t win, America’s Suburbs will be OVERRUN with Low Income Projects, Anarchists, Agitators, Looters and, of course, “Friendly Protesters”."
155,2020-09-10T13:51:58.000Z,"Democrats, OPEN THE SCHOOLS ( SAFELY), NOW! When schools are closed, let the money follow the child (FAMILY). Why should schools be paid when they are closed? They shouldn’t!"
156,2020-09-10T13:02:50.000Z,"Bob Woodward had my quotes for many months. If he thought they were so bad or dangerous, why didn’t he immediately report them in an effort to save lives? Didn’t he have an obligation to do so? No, because he knew they were good and proper answers. Calm, no panic!"
157,2020-09-10T12:56:14.000Z,"Obama is lucky he ran against @MittRomney, a man with very little talent or political skill, as opposed to someone who knows how to fight and win!"
158,2020-09-10T12:54:48.000Z,Sending out 80 MILLION BALLOTS to people who aren’t even asking for a Ballot is unfair and a total fraud in the making. Look at what’s going on right now!
159,2020-09-10T12:51:43.000Z,“Comey is a disgraced lier & leaker. Two years wasted on the Russia Witch Hunt was in large part because of his failings as Director of the FBI. They refused to support the results of the 2016 Election. Part of the biggest political scandal we have ever seen.” @SarahHuckabee
160,2020-09-10T12:45:44.000Z,Kim Jong Un is in good health. Never underestimate him!
